1girl,女の子
m1904 mastiff,M1904マスティフ
noel vermillion (cosplay),ノエル・ヴェルミリオン（コスプレ）
knights templar,テンプル騎士団
silver (metal),シルバー
camouflage cloak,カモフラージュマント
araizumi rui (style),野生のあらいずみるい
rugby,ラグビー
rope braid,绳索状发辫
hairline,生え際
continue,コンティニュー
diagonal-striped legwear,斜めの縞模様のレッグウェア
cow print leotard,牛柄レオタード
horse racing,競馬
mega man (character) (cosplay),メガマン（キャラクター）（コスプレ）
doujinshi cover trope (trend),同人誌の表紙あるある
tessaiga,鉄砕牙
road closed to vehicles sign,車両通行止め
forceps,鉗子
boost buckle,ブーストレイズバックル
makoto mirai academy middle school uniform,私立まことみらい学園
puffin,ふっくら
diet coke and mentos (meme),メントスコーラ
swimsuit around one leg,片足の周りの水着
have to poop,便意我慢
jumbotron,ジャンボトロン
self fisting,自己拳
handkerchief biting,ハンカチの噛み合い
leg behind shoulder,肩の後ろの足
cpu,CPU
untied swimsuit,解き放たれた水着
caracal,カラカル
all-terrain vehicle,全地形対応車
shiratsuyu-class swimsuit,白露型水着
mysterious mask (fate),謎の仮面
okina's natural hair color,黒隠岐奈
panzer 38(t),38(t)戦車
wonder ride book,ワンダーライドブック
sea otter,ラッコ
daihatsu (landing craft),ダイハツ（着陸船）
michiyuki,道行
forced dressing,強制ドレッシング
ranni the witch (cosplay),魔女ランニ（コスプレ）
lepus (constellation),うさぎ座
15-nin no richiteki na megane-tachi,15人の理知的なメガネたち
holding headgear,ヘッドギアを持っています
call bell,呼び鈴
multicolored sarong,多色のサロン
cleaning rod,クリーニングロッド
betting ticket,馬券
sekiha love-love tenkyoken,石破ラブラブ天驚拳
camouflage footwear,カモフラージュフットウェア
gram (fate),グラム(Fate)
fundoshi day,ふんどしの日
shirow masamune (style),士郎正宗
hand in jacket,ジャケットの手
maternity dress,マタニティドレス
creature inside,内部の生き物
brick phone,大哥大
kagura (gintama) (cosplay),kagura（gintama）（コスプレ）
scam,詐欺
naked pumpkin,裸のカボチャ
s.o.n.g. uniform,歌。ユニフォーム
defenestration,脱enestration
etorofu (kancolle) (cosplay),エトロフ（カンコル）（コスプレ）
yuugumo (kancolle) (cosplay),ユウガモ（カンコル）（コスプレ）
super sass,スーパーサス
magnhild,マンヒルド
marsh badge,ゴールドバッジ
goo goo babies (meme),でちゅね遊び
leaning tower of pisa,ピサの斜塔
minnie mouse (cosplay),ミニーマウス（コスプレ）
pc engine,PCエンジン
vaio,vaio
annihilate ray,レイを消滅させる
another rider (zi-o),アナザーライダー
heian-kyou (fate/grand order),地獄界曼荼羅
uso da,嘘だッ!
maetenkan,まえてんかん
kiso (kancolle) (cosplay),Kiso（Kancolle）（コスプレ）
yakusoku no passerelle (project sekai),約束のPasserelle
from ground,地面から
kaisendon,海鮮丼
sticks,スティック
taut bikini,ぴんと見たビキニ
psyche (project tokyo dolls),プシュケー
tundra,ツンドラ
morph ball,モーフボール
naze? nazo?! answer,なぜ?謎?!ANSWER
roningasa,浪人笠
wooden cup,木製のカップ
lucky channel,ラッキーチャンネル
ahoge removed,Ahogeは削除されました
diasomnia dorm,ディアソムニア寮
guided kiss,ガイド付きキス
glooga dualies (splatoon),ケルビン525
lada (car),ラーダ
bridgestone,ブリヂストン
mao suit,人民服
dolman (jacket),骠骑兵夹克
monowheel,モノホイール
decagrammatonization,デカグラマトン化
speedometer,速度計
venom snake (cosplay),毒ヘビ（コスプレ）
sitar,シタール
kaiser pmc corruption,カイザーPMC
fish hood,魚のフード
japan cup,ジャパンカップ
caren hortensia (cosplay),Caren Hortensia（コスプレ）
zastava m21,ツァスタバM21
naval mine,機雷
yotsuwari-bishi,四つ割菱
print ascot,アスコットを印刷します
festering desire (genshin impact),腐殖之剑
nagamaki,長巻
viola tricolor,サンシキスミレ
paper plate,紙皿
power rack,パワーラック
flab,フラブ
flirting 10 image response,イチャイチャ10のイメレス
shooting through heart,心を通して撃ちます
leech girl,リーチガール
good luck knot,好運結
chiss,チス
bear head,頭の頭
isekai truck,トラック転生
sakimichan (style),サキミチャン（スタイル）
brush holder,筆掛け
champagne tower,シャンパンタワー
singapore,シンガポール
timpani,ティンパニ
b-25 mitchell,B-25ミッチェル
hot plate,ホットプレート
caviar,キャビア
vk-47 flatline,VK-47フラットライン
throwing money,お金を投げる
rainbow badge,レインボーバッジ
lactic acid bacteria,乳酸菌とってるぅ?
chicken-mushroom skewer (genshin impact),チキンマッシュルームの串焼き（Genshin Impact）
removable censorship,Gマスク
carnival mask,カーニバルマスク
dramatic stars (idolmaster),劇的な星（アイドルマスター）
lasagne,ラザニア
ooyodo (kancolle) (cosplay),Ooyodo（Kancolle）（コスプレ）
dot triangle,ドットトライアングル
tirol chocolate,チロルチョコ
king gainer over!,キングゲイナー・オーバー!
fish-flavored toast (genshin impact),魚香トースト
webcounter,WebCounter
hexafusion,ヘキサフィュージョン
host,ホスト
nagisa kaworu (cosplay),ナギサ・カワル（コスプレ）
far side backboob,裏乳
mouse mask,マウスマスク
backyard,うらにわ
sega game gear,ゲームギア
let's draw short-haired hinanawi tenshi,【企画】『短髪天子、描かないか。』
nandeyanen,なんでやねん
vertical anus,縦割れアナル
f/a-18e super hornet,スーパーホーネット
za warudo,砸瓦鲁多!
spring roll,春卷
saab gripen,サーブ・グリペン
trance (music),トランス
level difference,レベルの違い
e-ming scimitar,厄命
nursing paizuri,授乳パイズリ
run over,轢く
ribbon-trimmed swimsuit,リボントリミングされた水着
mandolin,マンドリン
shouwa,昭和
delivery robot,配達ロボット
1950s (style),1950年代（スタイル）
tsutenkaku,通天閣
castle dedede,デデデ城
short messy bangs,オンザ眉毛
clear marine calm (idolmaster),クリアマリンカーム
pinata,ピニャータ
shower cap,シャワーキャップ
sleeper hold,スリーパーホールド
shiratsuyu (kancolle) (cosplay),shiratsuyu（kancolle）（コスプレ）
fg42,FG42
special type 2 launch ka-mi,カミ車
mage (dq3) (cosplay),メイジ（DQ3）（コスプレ）
atlanta (kancolle) (cosplay),アトランタ（カンコル）（コスプレ）
ride booker,ライドブッカー
paladins of charlemagne (fate),シャルルマーニュ十二勇士
breast crush,乳圧
serbu super-shorty,セルブ・スーパー・ショーティ
announcer,アナウンサー
shanzha (fruit),サンザシ
snake penis,ヘミペニス
if happiness is a circle (meme),如果幸福是一个圈
atre akihabara,アトレ秋葉原
raw egg,生卵
mikagura private academy school uniform,私立ミカグラ学園
futa with newhalf,NewhalfのFuta
pop tab,ポップタブ
akuma homura (cosplay),Akuma Homura（コスプレ）
atmospheric layer,大气层
vietnamese flag,ベトナムの国旗
north korean flag,朝鮮民主主義人民共和国の国旗
zi-o ridewatch,ジオウライドウォッチ
coffee milk,コーヒー牛乳
crested hair,紋付きの髪
folding,折りたたみ
danish pastry,デニッシュ
dragon dance,舞龍
kamiha magica idol costume,カミハ☆マギカ
kettlebell,ケトルベル
swedish flag print,スウェーデンの旗印刷
vulcan,バルカン
the best schoolmate (idolmaster),ザベストスクールメイト
fast ball,スピードボール
winter daphne,ジンチョウゲ
leatherclub scene (meme),VAN様
minebea pm-9,9mm機関けん銃
umezu kazuo (style),楳図かずお
fn minimi,FNミニミ
lounge,ラウンジ
miracle belltier,ミラクルベルティエ
onion (pikmin),オニヨン
tennomifune academy school uniform,Tennomifune Academyのユニフォーム
at-at,at-at
medi gun,Medi Gun
la liga,ラリーガ
ucc coffee,UCCコーヒー
lion (macross frontier),ライオン（マクロスフロンティア）
fall guy (cosplay),秋の男（コスプレ）
alpaca hair ornament,アルパカの髪の飾り
dodge challenger,ダッジ・チャレンジャー
guy fawkes mask,ガイフォークスマスク
montsuki,もんつきはおりはかま
vine on leg,脚に蔓
contingency contract (arknights),危机合约
bodybuilder,ボディビルダー
mega man day,6月9日はロックマンの日
earth badge,グリーンバッジ
czech flag,チェコの国旗
palestinian flag,パレスチナの旗
oyoufuku akachan,お洋服赤ちゃん
space colony ark,スペースコロニー・アーク
fierce deity mask (zelda),鬼神の仮面
rakugo,落語
archetype inception (fate/grand order),新霊長後継戦アーキタイプ・インセプション
oriens (nijisanji),オリ絵ンス
warbonnet,ウォーボンネット
spetsnaz,スペツナズ
slingshot tan,Slingshot Tan
coat grab,抓着外套
nia colle fashion design,【企画】ニア*コレ【280%】
shark bag,サメリュック
michael jackson (cosplay),マイケルジャクソン（コスプレ）
gratin,グラタン
catnip,イヌハッカ属
cyaron! (love live!),Cyaron（Love Live！）
dandruff,フケ
spores,胞子
nagai gou (style),野生の永井豪
muscle growth,筋肉成長
kill me dance,キルミーダンス
underwear locked,パンツロック
delphinus (constellation),いるか座
new york city police department,ニューヨーク市警察
koukyou suru machi no katasumi de (project sekai),交響する街の片隅で
nazrin day,7月20日はナズーリンの日
piranha,ピラニア
zebesian,ゼーベス星人
spam (food),スパム
oscilloscope,示波器
sol emerald,ソルエメラルド
mine (place),鉱山
gravy boat,グレービーボート
maritozzo,マリトッツォ
lava bath,溶岩風呂
airfield,ひこうじょう
suzume no oyado no katsudou nisshi,雀のお宿の活動日誌〜閻魔亭繁盛記〜
shampoo challenge,シャンプーチャレンジ
type 90 (tank),90式戦車
print bandaid,バンダイドを印刷します
tesla (company),特斯拉
yelan (genshin impact) (cosplay),Yelan（Genshin Impact）（コスプレ）
carpet beater,布団叩き
tortoiseshell-framed eyewear,べっ甲眼鏡
koe naki sakana,声なき魚
nismo,ニスモ
coin slot,コインスロット
fluffy sweet (idolmaster),ふわふわスウィート
diaper changing,おむつ交換
secretarybird,ヘビクイワシ
veterinarian,獣医師
yakisoba spill,ペヤングだばあ
raihan (pokemon) (cosplay),Raihan（ポケモン）（コスプレ）
cartesian chart,デカルトチャート
king game,王様ゲーム
marui (company),マルイ
t-back spats,Tバックスパッツ
earth elemental,地の精霊
jasmine (disney) (cosplay),ジャスミン（ディズニー）（コスプレ）
zeztz driver,ゼッツドライバー
nikujaga (food),肉じゃが
tatara kogasa (cosplay),Tatara Kogasa（コスプレ）
pooka (odin sphere),プーカ（オーディン球）
cryptocurrency,暗号通貨
minami kotori (cosplay),天ミkotori（コスプレ）
breast band,母乳バンド
kouryou academy school uniform,Kouryouアカデミーユニフォーム
collateral damage,巻き添え被害
thunder badge,オレンジバッジ
spoon bending,スプーン曲げ
mystia lorelei (cosplay),Mystia Lorelei（コスプレ）
ittan momen,一反木綿
kitakami (kancolle) (cosplay),北京（カンコル）（コスプレ）
wave motion gun,波動砲
stardust breaker,スターダストブレイカー
tiger dojo,タイガー道場
mercy (overwatch) (cosplay),慈悲（オーバーウォッチ）（コスプレ）
soldering,はんだ
tairyou-bata,大漁旗
autocycle,三轮小拖车
the wild strawberry (idolmaster),ザ☆ワイルドストロベリー
toni kensa (splatoon),トニ・ケンサ（スプラトゥーン）
lass (pokemon) (cosplay),ラス（ポケモン）（コスプレ）
alaskan klee kai,アラスカのクリー・カイ
steel ingot,インゴット
giant salamander,オオサンショウウオ
ntr character sheet,NTRエロ漫画の登場人物
finger in navel,へそ責め
trampoline,トランポリン
bulldozer,ブルドーザー
evol driver,エボルドライバー
dotabata cafe rec!! (project sekai),ドタバタ_cafe_●REC!!
clipping fingernails,爪切り
ladder cutout,はしごの切り抜き
g-clef (precure),g-clef（スイートプリケア）
stretched neck,首を伸ばした
tapestry (medium),タペストリー(媒体)
potters wheel,ろくろ
pleasing parfait (umamusume),やる気UPスイーツ
brachiosaurus,ブラキオサウルス
urethral penetration,チンポインチンポ
ear picking,耳をほじる
tenor saxophone,テナーサックス
crouch start,クラウチングスタート
awooo,awooo
broken staff,壊れたスタッフ
symphony no. 765 (idolmaster),シンフォニーNo.765
ashen wolves (fire emblem),灰狼の学級
gallows,絞首台
ohhoai,オッホアイ
french braided ponytail,法式编发马尾辫
matt groening (style),マットグルーニング（スタイル）
food fight,フードファイト
pole vault,棒高跳び
apprentice chef (twisted wonderland),見習いシェフ
ichigozaka middle school uniform,いちご坂中学校
empire state building,エンパイア・ステート・ビルディング
hyundai,ヒョンデ
air hockey,エアホッケー
hs2000,スプリングフィールドXD
kv-1,KV-1
velcro,面ファスナー
tail stand,テールスタンド
peekaboo,ピーカブー
rosemary (herb),ローズマリー
distortion world,やぶれたせかい
youkai pad,妖怪パッド
umbrella sword,仕込み傘
braided mustache,编织式上唇胡
b-29 superfortress,B-29スーパーフォートレス
shiisaa,シーサー
jet squelcher (splatoon),ジェットスイーパー
lattice mast,格子マスト
muleta,ムレータ
aether foundation employee (cosplay),エーテル財団の従業員（コスプレ）
mafia (holostars),魔フィア
kyouwa school uniform,共和学園
onomichi (city),尾道
burying,埋葬
miyamoto musashi (swimsuit berserker) (fate) (cosplay),宮本学芸（水着バーサーカー）（運命）（コスプレ）
finger wrap,フィンガーラップ
majima everywhere,どこでも真島
druid,ドルイド
metroid suit,メトロイドスーツ
american civil war,南北戦争
trolley problem,トロッコ問題
mahou shoujo kikou ~prisma codes~,廃棄少女幻想エンド・サクリファイス
nijiura 7 (meme),ニジウラセブン
togepi egg,トゲピの卵
kaenken rekka,火炎剣烈火
evolved virgin killer sweater,進化したバージンキラーセーター
tea stalk,茶柱
diddle diddle,夜の饗宴
drillhorn sword,ドリルホーンの剣
naver username,Naverユーザー名
theodolite,セオドライト
slouch hat,前かがみの帽子
headdesk,ヘッドデスク
holotori,ホロ鳥
stuffed pegasus,ぬいぐるみペガサス
ironing board,アイロン台
she holds my weakness (meme),弱みを握られている
animal band panties,アニマルバンドパンティー
panther pink (precure),ぱんさーぴんく
itunes card,iTunesカード
goggles around arm,腕の周りのゴーグル
kotatsnail,こたつむり
arakumo gakuen,新雲学園
joya no kane,除夜の鐘
dark fountain (deltarune),闇の泉
shashka,シャシュカ
nachos,ナチョス
silo,サイロ
smelling pantyhose,パンストの臭い
touching forehead,額に触れる
cooperative naizuri,合作平胸乳交
camelopardalis (constellation),きりん座
rof-mao,ろふあーと
zipper legwear,ジッパーレッグウェア
coffee siphon,コーヒーサイフォン
schedule,スケジュール
meerkat,ミーアキャット
heart container,ハートのうつわ
after time valentine 2026,アフタータイム・バレンタイン2026
open hat,涼帽
nipple push,乳首のプッシュ
riding shark,サメに乗る
stilt house,高床建築
tardis,ターディス
emerald splash,エメラルドスプラッシュ
margarita,マルガリータ(カクテル)
licking tentacle,舔舐触手
zenryoku cheerleader (idolmaster),全力!チアガール
broken hypnosis,催眠解除
saizeriya,サイゼリヤ
izumi sagiri (cosplay),Izumi Sagiri（コスプレ）
human shield,肉の盾
uchigatana,うどん
air max,エアマックス
zuo wang dao,坐忘道
kumorizora no mukou wa hareteiru,曇り空の向こうは晴れている
setsubun shuen emaki,温泉イベ
mago berry,マゴのみ
photo stand-in,顔ハメ看板
himaruya hidekazu (style),野生のひまさん
gunkata,ガン=カタ
arsene lupin iii (cosplay),Arsene Lupine III（コスプレ）
you dress weird (meme),服が変
aestus domus aurea,招き蕩う黄金劇場
island turtle,アイランドタートル
escape ad,広告のあのゲーム
koopalings,コクッパ
voices & letters collection!,ボイス&レター・これくしょん!〜紫式部と7つの呪本〜
goldion hammer,ゴルディオンハンマー
kirin (company),キリンビール
charge blade,チャージアックス
hirasawa yui (cosplay),平田ゆい（コスプレ）
crossbow bolt,矢
mclaren p1,マクラーレンP1
bleeding heart (flower),ケマンソウ
rowdyruff boys,ラウディラフボーイズ
egg tart,エッグタルト
desu,です
balenciaga,バレンシアガ
labraunda (fire emblem),ラブラウンダ
pokeblock,ポロック
rain mikamura (cosplay),雨ミカムラ（コスプレ）
last shooting,ラストシューティング
buffet,ビュッフェ
frilled curtains,フリルカーテン
unworn blouse,ブラウスが削除されました
nia teppelin (cosplay),nia Teppelin（コスプレ）
yuiazu (unit),ゆいあず(ユニット)
coronavirus,コロナウイルス
monorail,モノレール
double-decker hamburger bun,ダブルデッカーハンバーガーパン
hoodie pull,パーカープル
kamado tanjirou (cosplay),カマド・タンジルー（コスプレ）
dell,デル
puppet show,人形劇
cure happy (cosplay),ハッピーを治す（コスプレ）
survey corps,調査兵団
triple tiara (umamusume),トリプルティアラ
armor girls project,アーマーガールズプロジェクト
ushiwakamaru (fate) (cosplay),ushiwakamaru（運命）（コスプレ）
warspite (kancolle) (cosplay),Warspite（Kancolle）（コスプレ）
imaginary scramble,イマジナリ・トレンチ
penis envy,陰茎の格差社会
paifang,牌坊
departure board,発車標
sailor uranus (cosplay),セーラー・ウラヌス（コスプレ）
substitution technique,変わり身の術
overturned car,横転
new year's eve,大晦日
bling-bang-bang-born (creepy nuts),BBBBダンス
dash store touhou collaboration,パルコ純狐
hanegasaki academy school uniform,園の文学アカデミーのユニフォーム
pop'n music (style),ポップン風
league card,ポケモンリーグカード
quanxi's group (chainsaw man),Quanxiのグループ（チェーンソーマン）
hinduism,ヒンドゥ教
daiguren hyourinmaru (bankai),大紅蓮氷輪丸
dragoon (kirby),ドラグーン
torn buruma,引き裂かれたブルーマ
suiseiseki (cosplay),suiseiseki（コスプレ）
eden-gumi,エデン組
autobomb (splatoon),ロボットボム
sig sg552,Sig Sauer 552
fractal,フラクタル
hitler youth,ヒトラーユーゲント
dvd player,DVDプレーヤー
revy (black lagoon) (cosplay),Revy（ブラックラグーン）（コスプレ）
junko (touhou) (cosplay),Junko（Touhou）（コスプレ）
jalapeno pepper,ハラペーニョ
hello good day! (project sekai),ハロー・グッド・ディ!
kazoo,カズー
hand warmer,カイロ
the dazzlings (my little pony),海妖三姐妹
kingstone,キングストーン
allagan tomestone,アラガントームストーン
helipad,ヘリポート
world trade center,ワールドトレードセンター
star color pendant,スターカラーペンダント
keep calm and carry on,冷静に、戦い続けよ
paramedic,救急救命士
flash cards,暗記カード
millennium castle (tsukihime),千年城
guts (berserk) (cosplay),ガッツ（バーセルク）（コスプレ）
shinzou (ado),心臓
loquat,びわ
den-o belt,デンオウベルト
blindfold down,目隠し
life-size gardevoir plush,サーナイト_等身大
spathiphyllum,スパティフィラム
ki-43 hayabusa,一式戦闘機
imijikarishi valentine,いみじかりしバレンタイン〜紫式部と5人のパリピギャル軍団〜
rectangular coffin,棺桶
threaded cane,ねじれた杖
vagina dentata,ヴァギナ・デンタータ
gudaguda meiji ishin,ぐだぐだ明治維新
b-2 spirit,B-2スピリット
control tower,管制塔
hawker harrier,ハリアー
zun hat,ZUN帽
goldeen (cosplay),ゴールデン（コスプレ）
i-401 (kancolle) (cosplay),I-401（Kancolle）（コスプレ）
rakko-nabe,ラッコ鍋
robe slip,ローブスリップ
after tribadism,磨鲍后
frostmourne,フロストモーン
smok (hololive),SMOK(ホロライブ)
colombia,コロンビア
carbon fiber,カーボンファイバー
pinball,ピンボール
brochure,ブローシャー
glass floor,ガラスの床
meiko (vocaloid) (cosplay),Meiko（Vocaloid）（コスプレ）
su----per cute,めっっっっちゃ可愛い○○シリーズ
kono dio da (meme),このディオだッ!
being late,遅刻
ff gradient,ff勾配
side-tie legwear,サイドタイのレッグウェア
nachiya,ナチヤ
humidifier,加湿器
etwahl,エトワール
qawsedrftgyhujikolp,くぁwせdrftgyふじこlp
airbrush,エアブラシ
su-47 berkut,Su-47 Berkut
qiqi (genshin impact) (cosplay),Qiqi（Genshin Impact）（コスプレ）
tsuioku marionette (ensemble stars!),追憶*マリオネット
faux text,フェイクテキスト
it's super effective,こうかはばつぐんだ!
smoked cheese,スモークチーズ
edward elric (cosplay),エドワード・エルリック（コスプレ）
kasugano sakura (cosplay),カスガノ・サクラ（コスプレ）
amemiya taiyou (mixi max zhuge kongming),太明
hungary,ハンガリー
ochazuke (food),お茶漬け
blutgang (fire emblem),ブルトガング
phoenix wright (cosplay),フェニックスライト（コスプレ）
longship,ロングシップ
tenno sho,天皇賞
toothache,歯痛
whipping hair,髪を鞭打ちます
are you a virgin? (meme),アンタ童貞?
502nd joint fighter wing,ブレイブウィッチーズ(部隊)
beamed thirty-second notes,32秒のノートをビームしました
driving license,運転免許
pipeline,パイプライン
switch (ensemble stars!),スウィッチ
tackle box,タックルボックス
shine sprite,シャイン(マリオシリーズ)
pan flute,パンフルート
instant transmission,瞬間移動
sailor saturn (cosplay),船乗り土星（コスプレ）
passion flower,トケイソウ
no stopping sign,駐停車禁止
nijisanji gamers,にじさんじゲーマーズ
squeezer (splatoon),ボトルガイザー
ramekin,ラメキン
t-90,T-90
chocolate truffle,トリュフチョコレート
allium (flower),アリウム
mash kyrielight (enma-tei uniform) (cosplay),MashKyrielight（Enma-Teiユニフォーム）（コスプレ）
eggplant costume,ナスコスチューム
tying panties,パンティーを結ぶ
watermelon innertube,スイカスイミングリング
subachocolunatan (hololive),スバちょこるなたん
chagama (pot),茶釜
head removed,頭を取り除いた
shroomling (infinity nikki),キノキノ族
divine water (fate),水神(Fate)
patio swing,パティオスイング
transparent ribbon,透明なリボン
morozoff,モロゾフ
tone (kancolle) (cosplay),トーン（kancolle）（コスプレ）
nidaime wa alter-chan,二代目はオルタちゃん〜2016クリスマス〜
weichang,围裳
shedding fur,換毛
golf bag,ゴルフバッグ
ocelot print,オセロットプリント
a baoa qu,ア・バオア・クー
loose skirt,ゆるいスカート
carrying pole,天秤棒
against chalkboard,黒板に対して
galette (food),ガレット
tail rape,テールレイプ
tandem bicycle,タンデム自転車
curry roux,カレールー
bugatti,ブガッティ
sonic boom (speed),ソニックブーム
horoscope,星占い
letter pose,人文字
biting testicles,咬睾丸
undine,ウンディーネ
tsurikichi obasan,釣りキチおばさん
object on bulge,バルジのオブジェクト
angela balzac (cosplay),アンジェラバルザック（コスプレ）
walfas,Walfasツール
doreking,ドレキング
ibm (ajin),インビジブルブラックマター
bow of light,光の弓矢(ゼルダの伝説)
9/11,911テロ
diving block,ダイビングブロック
s i n (fate/grand order),シン
gossip,うわさ
waterskiing (meme),艦これPVパロ
maltese,マルチーズ
gorka suit,ゴルカ
stronghold protocol (arknights),卫戍协议
fountain of dreams,夢の泉
jeanne d'arc alter (swimsuit berserker) (fate) (cosplay),JeanneD'Arc Alter（水着Berserker）（Fate）（Cosplay）
columbine (flower),オダマキ
zekkyou!? ookami no mori e youkoso! (project sekai),絶叫!?オオカミの森へようこそ!
geyser,間欠泉
parka girls (touhou),東方パーカーむすめ。
shibari marks,シバリマークス
thirty-second note,32秒のメモ
kawaranu atatakasa no tonari de (project sekai),変わらぬあたたかさの隣で
wing star,ウィングスター
flehmen response,フレーメン反応
d-ark,ディーアーク
assassin (fate/zero) (cosplay),アサシン（Fate/Zero）（コスプレ）
uss iowa (bb-61),USSアイオワ（BB-61）
futatsuiwa mamizou (cosplay),Futatsuiwa mamizou（コスプレ）
aris dance (meme),アリスダンス
folding stool,折りたたみ便
upside-down world,颠倒世界
murasame (kancolle) (cosplay),Murasame（Kancolle）（コスプレ）
mushoku toumeisai,無色透名祭
1990,1990年
big boss (cosplay),ビッグボス（コスプレ）
sphynx cat,スフィンクス
softball (sport),ソフトボール
strapless dildo,ストラップレスディルド
times square,タイムズスクエア
nanakusa-no-sekku,七草がゆ
body cam,ウェアラブルカメラ
dromedary camel,ヒトコブラクダ
ointment,軟膏
mussel,イガイ
enter enter mission!,Enter Enter Mission！
chernobyl,チェルノブイリ
somua s35,ソミュアS35
gantz sword,ガンツの剣
cbj-ms,CBJ-MS
occult studies club (blue archive),オカルト研究会
stille (sousou no frieren),隕鉄鳥(シュティレ)
jamaican flag,ジャマイカの国旗
yuffie kisaragi (cosplay),Yuffie Kisaragi（コスプレ）
icelandic flag,アイスランドの国旗
choice specs,こだわりメガネ
toilet brush,马桶刷
neck snap,ネックスナップ
kagerou (kancolle) (cosplay),kagerou（kancolle）（コスプレ）
boku wa konya deteiku,僕は今夜、出て行く
sonoda umi (cosplay),Sonoda Umi（コスプレ）
cockatrice,コカトリス
venus chain (sailor moon),金星チェーン（セーラームーン）
chinpo ni wa katenakatta yo,絶対チ○ポなんかに負けたりしない!!
xiangqi,象棋
blackcliff slasher (genshin impact),ブラッククリフスラッシャー（Genshin Impact）
re prologue x (idolmaster),リ・プロローグ・X
canary,カナリア
teikoku,テイコク
protect gear,プロテクトギア
mononobe no futo (cosplay),Mononobe No Futo（コスプレ）
barrel shroud,槍管罩筒
ah-1 cobra,AH-1コブラ
hata no kokoro (cosplay),hata no kokoro（コスプレ）
usuzan school uniform,ウスザン学校の制服
daitouren (fate),恋愛発破・天鬼雨
pokestop,ポケストップ
daddycool's tan'yao (meme),タンヤオ(AA)
helena blavatsky (fate) (cosplay),ヘレナ・ブラバツキー（運命）（コスプレ）
coiled cord,コイルドコード
s'more,スモア
divine bustier (dq),Divine Bustier（DQ）
chippendales,チッペンデール
ceremony,式
sa-3 mozambique,SA-3モザンビーク
song dynasty,宋朝
kojiri,鐺
cum in headwear,ザーメン帽子
kefir,ケフィア
towel lift,タオルリフト
kurobara girls high school uniform,黒薔薇女子高校
bowed wings,お辞儀をした翼
holographic wings,全息翅膀
live for venus (idolmaster),ライブフォーヴィーナス
ueda hajime (style),ウエダハジメ
peeler,ピーラー
n1k,強風
archaic japanese text,古典日本語
mirakurun (cosplay),Mirakurun（コスプレ）
valkyrie skirt,ヴァルキリースカート
cross shinjuku vision,クロス新宿ビジョン
training wheels,トレーニングホイール
arzuros (armor),アルツロス（鎧）
hirano kouta (style),野生の平野耕太
sniping,狙撃
thigh bands,太ももバンド
king of pearl 360 (idolmaster),キングオブパール360
buster rifle,バスターライフル
it runs doom (meme),DOOMチャレンジ
tendon (food),てんどん
bismarck (battleship),ビスマルク（戦艦）
geode,ジオード
jizaikagi,自在鉤
egg mobile,エッグモービル
glowing organ,輝く心臓
kujo jolyne (cosplay),Kujo Jolyne（コスプレ）
loft bed,ロフトベッド
imageboard,イメージボード
stollen,シュトーレン
green bean,サヤインゲン
mutual penetration,相互挿入
cracked shell,ひび割れたシェル
pallas's cat,マヌルネコ
birthday bloom,ブルームバースデー
quartz (gemstone),クォーツ
orirock (arknights),オリロック（arknights）
what i watched what i expected what i got (meme),私が見たものが私が得たものを期待したもの（ミーム）
apricot (fruit),アプリコット
hero roller (splatoon),ヒーローローラー
jackhammer,はつり機械
shiranui (kancolle) (cosplay),shiranui（kancolle）（コスプレ）
thousand-men pin,ヘルスジャンキー
mutual impregnation,百合同时受孕
sherman firefly,ファイアフライ
kure (city),呉
hidden weapon,隠された武器
aloe (plant),アロエ
landing craft,着陸船
millennium falcon,ミレニアム・ファルコン
head on back,後ろに向かいます
walking backwards,後ろに歩く
chocolate river no sono saki ni,チョコレート・リバーのその先に
swedish clothes,スウェーデンの民族衣装
leon (pokemon) (cosplay),レオン（ポケモン）（コスプレ）
persim berry,キーのみ
volumetric flask,メスフラスコ
toy tank,おもちゃタンク
boat interior,ボートのインテリア
arrow in mouth,口の矢印
faceswap,顔交換
obi spin,よいではないか
fax machine,ファクス
p416,P416
nudge,ナッジ
rapid blaster (splatoon),ラピッドブラスター
bolt cutters,ボルトカッター
penenko,ペネンコ
hull shoes,船体の靴
hiki furisode,引き振袖
usami sumireko (cosplay),ウサミ・スミレコ（コスプレ）
barrel replica (type-moon),バレルレプリカ
omanjuu mascot,おまんじゅうシリーズ
jerky,ジャーキー
staring contest,にらめっこ
dragon fist (dragon ball),龍拳爆発
vorpal bunny,ヴォーパル・バニー
sengoku nadeko (cosplay),Sengoku nadeko（コスプレ）
pussy steam,猫の蒸気
midori (kemurikusa),ミドリ（ケムリクーサ）
greek flag,ギリシャの国旗
ideon gauge,ゲージ(イデオン)
stele,石碑
hepatica (flower),ミスミソウ
wicker furniture,icker家具
ak 5,AK 5
karaoke hasu no sora,カラオケ蓮ノ空
russian roulette,ロシアンルーレット
recliner,躺椅
half rest,半休息
blazefire saber,ブレイズエッジ
hakama removed,ハカマは削除した
wiping hands,手を拭く
school connection,学校のつながり
asymmetry,アシンメトリー
toyota prius,プリウス
matching ring,マッチングリング
batten japari dan,×ジャパリ団
korg,Korg
shirasaya,シラサヤ
wintersweet,ロウバイ
