hatsune miku,初音ミク
snatcher (splatoon),タマヒロイ
janet bhai,ジャネット・バーイー
atalanta (twilight memory) (fate),トワイライト・メモリー
matsukai mao (3rd costume),魔使マオ(キョンシー)
eudial (sailor moon),ユージアル
rin cat (rincatx),鈴猫絵
lyla (zenless zone zero),ライラ(ゼンゼロ)
mr. hugeface,大きい顔
reese arno,リィズ・アノー
tps (girls' frontline),TPS(ドールズフロントライン)
mastema (megami tensei),マンセマット
zuihou (halloween) (kancolle),瑞鳳(ハロウイン)
shiroko (flowery charms) (blue archive),砂狼シロコ(華芳雅韻)
shin'you (new year) (kancolle),神鷹(晴れ着)
chronomon holy mode,クロノモンホーリーモード
pipin tarupin,ピピン・タルピン
u-31 (let's go home) (azur lane),共に帰路につく前に
doris 1 (warioware),クリナ(メイドインワリオ)
kiara (shironeko project),キアラ・ソレラ
mysterious neco x,謎のネコX
aia amare (2nd costume),アイア・アマレ(聖天子)
yoshimatsu shinji,吉松シンジ
bennett (keep) (genshin impact),班尼特(Keep联动)
lakilester,ポコピー
james moriarty (chaldea special investigation unit) (fate),カルデア特捜班
natsuki kenichi,菜月贤一
poke maniac (pokemon),かいじゅうマニア
pastry cookie,ペストリー味クッキー
shroomboar (genshin impact),キノシシ
shizuku (shironeko project),へべれけ双剣士シズク
koenra,こえんら
patty rabbit,パティ・ホープラビット
red rider (megami tensei),レッドライダー
amauta sau,天唄サウ
yingning (masterwork apocalypse),エイネイ
xu fu (spare the idle talk) (fate),閑話休怠
shiratori shiori,白鳥詩織
boise (flawed but delectable) (azur lane),トラブっても美味しく
shikinami (maizuru) (kancolle),敷波(舞鶴)
erebus (illusory happiness) (azur lane),幻の幸福
susuki michiru (bouen),すすきみちる
ena (hijiri),エナ
necoco (another eden),ねここ
kotouge eiji,小峠英二
shirano (world flipper),シラノ
charlotte (berserk),シャルロット(ベルセルク)
shoji momoko,東海林桃々子
lin kaimane,リン
cava (akroglam),ケーヴァ
kido rin,木戸凛
mu (lord of heroes),ミュー
nanakusa ibuki,七種イブキ
the wandering emperor,放浪皇
kuro (albatross koukairoku),クロ
nishino ayane,西野彩音
fondue (girls und panzer),フォンデュ(GuP)
alba meira,ソワレ・メイラ
long-necked rhino (genshin impact),クビナガライノ
sethmon,セトモン
aaron (buddy mission bond),アーロン
yeon dongha,燕東夏
shikabane (aggretsuko),シカバネ
nezu ginjiro,根津銀次郎
shiki (ragnarok online),式
tsukino luca,ルカ(ドラえもん)
gaza-d,AMX-006ガザD
yozakura futaba,夜桜二刃
michael (monster strike),ミカエル(モンスト)
majokko meimi,魔女っ子めいみ
shiga haruki,志賀春樹
hiasane,日あさ寝
izumi (queen's blade),戦神の侍
doublas m2,ダブラスM2
livia (rune factory),リヴィア(ルーンファクトリー)
ibuki douji (ruler) (fate),伊吹童子(ルーラー)
spark mandrill (mega man),スパーク・マンドリラー
kosugi neneko,小杉ねね子
koike saaya,小池彩矢
hahajima fuwari (shadowverse flame),母嶋フワリ
the last knight (arknights),最後の騎士
oikawa shizuku (lively harvest),はつらつハーヴェスト
kurona (adult),大人くろな
russell burrows,ラッセル・バロウズ
genie (monster girl encyclopedia),ジーニー(魔物娘図鑑)
shimizu eiko,清水栄子
new mass-produced aircraft carrier princess,新量産空母棲姫
katahira hina (skr),かたひらひな
kayamori emma,栢森エマ
dark taranza,ダークタランザ
cassette girl (taikodon),カセットガール
nekoda pepero,猫田ぺぺろ
kazari lua,風莉ルア
lily aquaria,リリー・アクアリア
morgen faust,モルゲン・ファウスト
andrus,アンドラス
sailornyan,セーラーニャン
svirepy (rebellious artist) (azur lane),アート・オブ・リベリオン
shishihime romio,獅子姫ろみお
kitagawa kenta,北川健太
hecatie (sennen sensou aigis),冥界の魔術師ヘカティエ
morrigna (granblue fantasy),バイヴカハ
fuwa tokihito,不破十紀人
hanadera yasuko,花寺やすこ
alice (shadowverse),不思議の探求者・アリス
kiryu miharu,霧生見晴
yamazaki kenji,山崎健二
wasp (azur lane),ワスプ(アズールレーン)
hachi (darling in the franxx),ハチ(ダリフラ)
ishtar (megami tensei),イシュタル
koharu (sennen sensou aigis),猫又コハル
shinoda akane,篠田あかね
colho (lansane),カルホ
hoonie (hoonie friends),虎妮
daiwa scarlet (racehorse),ダイワスカーレット
dosolfachord cutia,ドドレミコード・キューティア
suou momoko (gatto marciale),ガット・マルチャーレ
honglan (eversoul),ホンラン
dora-tan,ドラたん
tiara royal ivy,ティアラ・ロイヤル・アイビー
ooashi ran,大芦蘭
xion magus,シオン(シャイニング・ティアーズ)
phantom (girly air force),ファントム(ガーリー・エアフォース)
kirisaki mai,霧崎マイ
tokishima kurara,鴇嶋喰良
cancer (monster girl encyclopedia),キャンサー(魔物娘図鑑)
takamiya kasumi,多華宮霞
timeloop miku,回帰のミク
waterzooi (girls und panzer),ワーテルゾーイ
honma himawari (4th costume),本間ひまわり(正月衣装)
gran torino (boku no hero academia),グラントリノ
emden (moonsilver union) (azur lane),水月のリチェルカーレ
kaede (onimusha),かえで(鬼武者)
ebisu (naruto),エビス(NARUTO)
ootsutsuki momoshiki,大筒木モモシキ
luis cammy (7th costume),ルイス・キャミー(怪盗2nd)
kausgammamon,カウスガンマモン
pesche guatiche,ペッシェ・ガティーシェ
mikuma (lawson) (kancolle),ローソン三隈
fumino miko,文野ミコ
wakai yuuki,若井友希
dear daniel,ディアダニエル
baby bowser,ベビィクッパ
torricelli (shady seaside) (azur lane),日陰の彼女、日陰のある砂浜
shima wataru,志摩渉
kise mikan,黄瀬美甘
ishiwatari nao,石渡なお
abyssal plum princess,深海梅棲姫
sarah bernard,サラ・ベルナール
utsunomiya (oshiro project),宇都宮城
dark necrofear,ダーク・ネクロフィア
kushizashi-chan,くしざしちゃん
chrom rem,クロム・レム
morita naruko,守田鳴子
kumi (amagamido),玖美ちゃんは元ビッチ!
getchuman fairy,ゲッチュマン
chippu,チップ
momo siudafares,モモ=シウダーファレス
miyamizu hitoha,宮水一葉
milard rune,ミラルド・ルーン
pacifica (cardfight!! vanguard),パシフィカ
lumi (counter:side),ルミ
tatari kogasa,祟小傘
styler mimi,スタイラーミミ
alistair (granblue fantasy),アリステラ
wedin,ウェディン
hipparion (kemono friends),ヒッパリオン(けものフレンズ)
yamada asaemon senta,山田浅ェ門仙汰
gigantamax corviknight,キョダイマックスアーマーガア
alice (masterwork apocalypse),爱丽丝
superior spider-man,スーペリア・スパイダーマン
akatsuki (gundam tekketsu no orphans),暁(鉄オル)
amou kirukiru,天羽斬々
mewhan,みゆはん
kirinji tenjirou,麒麟寺天示郎
konan yako,湖南やこ
sakura mochi (sakuragi ren),さくらもち
takato matsuri,鷹登まつり
mhlia blanco,ミリャ・ブランコ
tanaka (tanakeda),田中(田中くんはいつもけだるげ)
gug,ガグ
harienju (flower knight girl),ハリエンジュ(花騎士)
marvin the martian,マービン・ザ・マーシャン
racua (sennen sensou aigis),ラキュア
monday-chan (gomennasai),月曜ちゃん
shiori (virtuareal),栞栞
tatsunagi kourin,立凪コーリン
sagiko,さぎこ
madeleine (dragon's dogma),マデリン
satsuki (street fighter),サツキ
koishikawa tamami,小石川玉美
touzokuyama megumu,(盗賊山恵
aihara kaori,愛原圭織
kate markson,ケイト・マークソン
fuwa yuzuki,不破優月
leduc (skullgirls),レデューク
golem (monster girl encyclopedia),ゴーレム(魔物娘図鑑)
miyako yukari,都ゆかり
dorrie,ドッシー
ubuyashiki amane,産屋敷あまね
kayama sui,香山水依
fate (falken (yutozin)),フェイト
hijirihara takumi,聖原拓実
chiffon fairchild,シフォン=フェアチャイルド
shoutmon king ver.,シャウトモン(キングVer.)
onomiya yutsuki,小野宮結月
hoozuki haru,鬼灯ハル
akagi (blue oath),赤城(ブルーオース)
wolf orphnoch,ウルフオルフェノク
yukikaze (kure 2019) (kancolle),雪風(呉2019)
kirishima kirihiko,斬島切彦
may riddell archelot,メイ・リデル・アーシェロット
julius kingsley,ジュリアス・キングスレイ
amamiya ayumu (vtuber),雨宮あゆむ
kuwabara shizuru,桑原静流
drop (rune factory),ドロップ
trumpart (monster girl encyclopedia),トランパート(魔物娘図鑑)
takamori saigou (bakumatsu shishi channel),幕末志士
aburatsubo ayanojou,油壷綾之丞
yukiagumon,ユキアグモン
ayatsuji yukari,絢辻縁
lip (fairilu),りっぷ
paul the octopus,パウル君
kayleigh glanzelius,ケイリ・グランセリウス
ishizuka unshou,石塚運昇
masa (seto no hanayome),政
shintani mayumi,新谷真弓
umibozu (city hunter),ファルコン
nejikawa raimu,螺子川来夢
yuki onna (beyblade),雪女(ベイブレード)
mitsuishi orihime,光石織姫
sato satsuki,佐藤左月
frieda reiss,フリーダ・レイス
mk23 (impish sweetheart) (girls' frontline),スイートな小悪魔
orran durai,オーラン・デュライ
mizukawa rei,水川怜
core mita (miside),核心米塔
cure magical (alexandrite style),アレキサンドライトスタイルマジカル
kouka (beatless),紅霞
gugu (fumetsu no anata e),グーグー
spartan (destroid),デストロイド・スパルタン
mitsuki shizuka,三月静香
matsukaze mayu,松風真由
ganryu (tekken),巌竜
linda (iron saga),リンダ
enamori senri,枝那森千里
amelia (world flipper),アメリア(ワーフリ)
dr. facilier,Dr.ファシリエ
ultraman fuma,ウルトラマンフーマ
predaking,プレダキング
yanami rain,八波零音
shi lan (qinshi mingyue),石兰
lyriel (kiss yuri),リリエル(キス百合)
usagihime (vtuber),うさごち
tendou gai,天童凱
isurd (xenoblade),イスルギ(ゼノブレイド3)
mr. resetti,リセットさん
judith (school nurse) (tales),あこがれの保健の先生
himeji (oshiro project),姫路城(城プロ)
smart lady,スマートレディ
vesper (iron saga),ウェスパ
ammo baron,アモ・バロン
toudou heisuke (hakuouki),藤堂平助(薄桜鬼)
momohina nano,桃雛なの
hiiragi rokuna,柊六奈
kuu (nyanko daisensou),猿帝のクウ
magus (dragon quest),まじゅつし
sagisawa youko,鷺沢陽子
sakurama hibiki,桜間日々輝
jhun hoon,ジョン・フーン
maou (yuunama),魔王(勇者のくせになまいきだ)
serges (mega man),サーゲス
pinky (inmu),ピンキー
adolphe (shuuen no virche),アドルフ
chiibou (cookie),CB姉貴
morikawa toshiyuki,森川智之
wing gundam (ew),ウイングガンダムEW
koi no sei (onmyoji),鯉の精
shiratori arisu,白鳥ありす
kirishima (gokuto jihen),斬島
yuan feng,袁楓
yumeoi kakeru (6th costume),夢追翔(新衣装2023)
hairein,ハイレイン
bernadette le tigre de la riviere,ベルナデット・ル・ティグレ・ド・ラ・リヴィエール
tsukishiro usagi,月城うさぎ
suzuki tetora,鈴木テトラ
shinobu (halloween) (princess connect!),シノブ(ハロウィン)
funou (futanari no elf),フノウ
yuuri-chan (wazukani),安原優里
red hot chili pepper (stand),辛红辣椒
takemoto chie,竹本チエ
hii-chan,ひぃちゃん
federica lamberti,フェデリーカ・ランベルティ
agent smith,エージェント・スミス
abdonis,フッキンリー
chan mama,チャンママ
finder oji-san,フィンダーおじさん
lucky (ragnarok online),ルッキー
tasaki daiki,田崎大樹
nebel,ネーベル
shatter (transformers),シャッター
earl grey cookie,アールグレイ味クッキー
delta gundam kai,ガンダムデルタカイ
pakuman,パクマン
nekota yuuichi,猫田悠一
half vampire priscilla,プリシラ(ガーディアンテイルズ)
twice h pieceman,トワイス・H・ピースマン
soraneko kurumi,空猫くるみ
uiui (show by rock!!),ういうい
mash kyrielight (irohanihoheto),いろはにほへと
intrepid (one intrepid pitch) (azur lane),恐れなき一投
yuzuki yuuna,柚木友奈
orgo demira,オルゴ・デミーラ
akiyama sakuko,秋山朔子
satomi (sengoku taisen),里美
ketchup (animal crossing),ケチャップ(どうぶつの森)
onikiri yasutsuna,鬼切安綱
lizabeth (pokemon),ヒロミ(ポケモン)
yofune hatsuho,夜舟初穂
lee jisoo,ムラサメ・シノ
houchou masamune,庖丁正宗
u-110 (a cute sharky reverie) (azur lane),潜水鮫のカワイイ夢
gyaru sister-chan (saba mizore),ギャルシスターちゃん
salwa (jahy),サルワ(ジャヒー様はくじけない!)
owen grady,オーウェン・グラディ
gu yue (douluo dalu),古月
menoly mallia,メノリ・マリア
cure princess (innocent form),イノセントプリンセス
akebono (pm swimsuit) (kancolle),曙(プレミアム水着)
scylla (call of duty: mobile),スキュラ(CODモバイル)
wu zetian (formal dress) (fate),英霊正装
nitocris (formal dress) (fate),英霊正装
fal (the big day) (girls' frontline),一番大事な日
abaddon (megami tensei),アバドン
reverse flash,リバース・フラッシュ
woodrow kelvin,ウッドロウ・ケルヴィン
lamli bennett,ラムリ・ベネット
koguma koharu,小熊小春
vivian (epic seven),ヴィヴィアン
kohaku teto,心白てと
lolo (mahou shoujo of the end),ロロ
higuchi eri,樋口えり
daimonyama tsuranuki,大門山ツラヌキ
nyarome,ニャロメ
blue-eyes alternative white dragon,青眼の亜白龍
assistant teto,付き人の重音テト
bishoujo detective zundamon,美少女探偵ずんだもん
atarou (mouretsu atarou),ア太郎
lee ji-hyun,李志泫
sakurai yuuto (kamen rider den-o),桜井侑斗
vilma etre von asgahan,ヴィルマ・エトル・フォン・アスガハン
shia labeouf,シャイア・ラブーフ
miko-chan (gen (genetrix)),巫女ちゃん
lilithmon x-antibody,リリスモンX
ogino mika,荻布美夏
shima daisuke,島
sumire (flower knight girl),スミレ(花騎士)
shamusakuraran (flower knight girl),シャムサクララン(花騎士)
kamen rider calibur,仮面ライダーカリバー
lady grey,レディ・グレイ
marcos'55,マルコス'55
yuduki miya,幽月みや
tsurugi mai,鶴城舞
pretty chang,プリティー・チャン
jovi (pokemon),マナ
aldra (queen's blade unlimited),アルドラ(クイーンズブレイドアンリミテッド)
fusano fumie,房野文恵
scrapper (zelda),サルボ
ghidorah (godzilla: the planet eater),ギドラ(アニメ映画)
juna waitz,ユナ・ヴァイツ
itou yuna,伊冬ユナ
blitztank,電光戦車
reset (wonder festival),リセット
rx-zeromaru,RX-零丸
hayase chitose (pretty x cation),早瀬千歳
hyuuga kojirou,日向小次郎
zogok,ゾゴック
sera mizuki (classroom crisis),瀬良ミズキ
stale royal ivy,ステイル・ロイヤル・アイビー
kagura ura,神楽ゆら
lou (phantasy star),ルウ
tiramisu (food fantasy),提拉米苏
exorcist miya,ミヤ(ガーディアンテイルズ)
ko-yamato,子やまと
amagiri ayato,天霧綾斗
kaminaga otome,神永乙女
southern cross (flower knight girl),サザンクロス(花騎士)
luna bittermilk,ルナ・ビターミルク
rouge (megami paradise),ルージュ(女神天国)
meat jersey girl,肉ジャージ娘
sion kirano,星桜キラノ
elmelaura,エルメラウラ
tono hitomi,遠野瞳
kaginuki rem,鉤貫レム
moko-chan,プラモのモ子ちゃん
atropos (megami tensei),アトロポス
inamori yuzuru,稲森弓弦
mg5 (crimson guardian) (girls' frontline),緋色のナイトウォッチ
kitahara lily,北原リリィ
lily shiraishi,リリィ白石
himeji sarina,姫路サリナ
anryuu,闇竜(勇者王ガオガイガー)
sakuragi yukari,桜木ゆかり
cotonoha,言のハ
ayase ririco,彩星りりこ
aikawa maki,トラマスター
m200 (solemn march) (girls' frontline),厳粛な行進
aquaman.exe,アクアマン(ロックマンエグゼ)
shinohara emi,篠原恵美
bragi (kingdom hearts),ブラギ
vor (kingdom hearts),ヴェル
igasaki fuuka,伊賀崎風花
satou keisaku,佐藤啓作
ootani atsushi,大谷敦士
komiyama mashiro,小宮山芙白
sakurai shino,櫻井詩乃
maw-ray,ウツボ
asechi kyouko,阿世知今日子
ahmey,アーメイ
shoubushi,しょうブシ
hanakari jinta,花刈ジン太
heywood l. edwards (miko) (kancolle),ヘイウッド(巫女)
segai waltz makoto,嘘界=ヴァルツ・誠
akimichi himeji,狂の秋道姫路
nanashiro nanami,七城那波
hiko (madoka magica),ヒコ君
moroboshi tsubomi,諸星つぼみ
dekapink,デカピンク
tsukino ikuko,月野育子
nastasia,ナスタシア
yayoi mina,弥生水奈
haruse natsumi,春瀬なつみ
fujiwara no michinaga (fate),藤原道長(Fate)
buster maiden (kuruton486),バスターメイデン
satsurikuin ouka,オウカちゃん
pale rider (megami tensei),ペイルライダー
sugar satellite,シュガーサテラ
sohma momiji,草摩紅葉
asou suzune,麻生鈴音
osmund saddler,オズムンド・サドラー
snatch (boku no hero academia),スナッチ
cozy glow,コージーグロウ
ceoreparque (orange juice),ケオレパルケ
donna beneviento,ドナ・ベネヴィエント
hypernova kirby,ビッグバン
jiu ying (zhu xian),九婴
gim (kirby),ギム(星のカービィ)
diamond queen,ダイヤモンド・クイーン
kamiyama seijuurou,神山誠十郎
yamase chihaya,山瀬千早
cleo saubraffe,クレオ・サーブラフ
pruflas (megido72),プルフラス(メギド72)
tsubasa (tower of fantasy),ツバサ(幻塔)
momochiru,ももちる
mani mani statue,マニマニのあくま
otoha rilly,音羽リリー
medjedra,メジェドラ
james moriarty,モリアーティ
abel (project moon),アベル
eternal polaris,久遠のポラリス
mashiro rei,ましろれい
baby yoshi,チビヨッシー
reni ai,レニー・アイ
senjou kuyou,千条九葉
sonoike sakurako,園池桜子
egashira 2:50,江頭2:50
nicholas (retrofit) (azur lane),ニコラス改(アズールレーン)
curly (original) (grimms notes),カーリー(グリムノーツ)
jianyu,ヤンユー
shadowman.exe,シャドーマン(ロックマンエグゼ)
yelena (neural cloud),イェレナ(ニューラルクラウド)
nastassja sergeyevna tolstaya,ナスターシャ教授
lizardman (monster girl encyclopedia),リザードマン(魔物娘図鑑)
gibril (isekai samurai),ギブリール
katou dan,加藤ダン
ron delite,天杉優作
fuckin animal,ファッキンアニマル
kamado takeo,灶门竹雄
eric (akuaya),エリク
pesselle (pokemon),キネ(ポケモン)
eiri (beatmania),英利
jiminy cricket,ジミニー・クリケット
mega golisopod,メガグソクムシャ
penguin mario,ペンギンマリオ
tsubasa aiba,藍羽つばさ
norman osborn,ノーマン・オズボーン
shirose aoi,白瀬あおい
iris (drapri guu-ta-life),イリス
penthesilea (shining skyscrapers) (fate),摩天楼に輝く
colorado (traveling melody) (azur lane),旅の旋律
genbu (nijiura maids),げんぶさん
flameu (atelier),フラメウ
etona tatsuki,穢戸鳴辰祁
gilgamesh (gilgamesh in ny) (fate),バトルインニューヨーク
inogashira masako,イノ頭マサコ
rice (food fantasy),米饭
aria (pokemon anime),エル(トレーナー)
u-522 (azur lane),U-522(アズールレーン)
churin (duel masters),自然の守護者チュリン
caym,カイム
mizuhara makoto,水原誠
angela carpenter,アンジェラ
will raynard,ウィル・レイナード
blizzarmon,ブリザーモン
irodori mora,彩撮モラ
tia (animal crossing),ティーナ
yuno (cookie),YNくん
presea (rayearth),プレセア
zanneck,ZMT-S29ザンネック
shabonsou (flower knight girl),シャボンソウ(花騎士)
iron gear,アイアン・ギアー
funai jouji,船井譲次
furfrou (diamond),ダイヤカット
reggie fils-aime,レジナルド・フィサメィ
angel (last origin),エンジェル(ラストオリジン)
vine (megido72),ヴィネ(メギド72)
yamanaka shikanosuke (sengoku basara),山中鹿之助
will-o'-the-wisp (monster girl encyclopedia),ウィル・オ・ウィスプ(魔物娘図鑑)
akashi kuniyuki (tenka hyakken),明石国行(天華百剣)
lord dominator,ロードドミネーター
putit,プチ(elona)
takatsu yukina,高津雪那
hanajima saki,花島咲
mitsurugi saya,御剣サヤ
gamia q,ガミアQ
doc louis,ドック・ルイス
nanahoshi ranze,七星蘭世
will (iris mysteria!),ウィルヘルミーナ・シュヴィール
breke (housamo),ブレイク
kano clans,カノ・クランズ
chartreux westia,シャルトリュー・ウェスティア
monja (baby tangela),モンジャ
mitsumi (pokemon),ミツミ
hamma hamma,ハンマ・ハンマ
terara (azur promilia),テララ(アズールプロミリア)
courier (akudama drive),運び屋
manuela hidalgo,マヌエラ
miyamori kanon,宮守夏音
matchless (azur lane),マッチレス(アズールレーン)
ogata rin,尾形琳
masaoka ryou,将陵僚
hanaoka isami,花丘イサミ
oshi (oshiro project),忍城
xuan xiaozhi,宣小纸
nobe masahiro,野辺将広
shia (reverseblue),紫亜(リバリバ)
sakura shino,咲良しの
melo (alternative girls),メロ
kamiazuma yumiko,守東由美子
tomita miyu,富田美憂
kingyozaka meiro,金魚坂めいろ
kate ashley,ケイト・アシュレイ
houjou reisuke,豊穣礼佑
virtual gorilla,バーチャルゴリラ
urushi (bombergirl),ウルシ(ボンバーガール)
demigra,ドミグラ
clara lindvall,クララ・リンドヴァル
artoria pendragon (lancer alter) (traveling outfit) (fate),英霊旅装
n-wgix/v,かつて世界を滅ぼした力
yunhua lu,ユンファ・ルー
saint germain (fate),サンジェルマン(Fate)
chado maki,茶戸マキ
shiine kasu,氏音カス
nina handel,妮娜·汉德
chouryou (shia) (koihime musou),霞(恋姫†無双)
naoe tomoatsu,直江友厚
tsubaki sakurako,椿桜子
misumi (summon night),ミスミ
shishiwakamaru,死々若丸
gundam gp-04 gerbera,ガンダム試作4号機
typhon (girls' frontline),テュポーン(ドールズフロントライン)
gokai pink,ゴーカイピンク
kikuchi mika,菊地美香
kojou tomono,古城智乃
maeda atsuhiro,前田敦博
vim jeturk,ヴィム・ジェターク
b-4 (ash arms),B-4(アッシュアームズ)
heinrich (ragnarok online),ハインリヒ
kamen rider zanki,仮面ライダー斬鬼
carcano m1891 (bells of beginning) (girls' frontline),始まりの鐘
juumonji tsubasa,十文字翼
gengan (koihime musou),桔梗(恋姫†無双)
rain megumi,レイン恵
gui xiansheng (zhu xian),鬼先生
leafa (attogacha),リーファ(圧倒的ガチャ運)
pauline bonaparte,ポーリーヌ・ボナパルト
inukai makoto,犬飼真琴
sugisaki marina,杉崎麻里奈
yoshino amane,芳野雨音
hoshifuru kaguya,星降香宮夜
inoue konoha,井上心葉
lang wu yao,浪巫謠
olga (phoenix 2772),オルガ
kel'thuzad,ケルスザード
doctor blythe,ドクターブライス
aragaki rei,荒垣玲
katsuragi himeno,葛木姫乃
mogi kazuha,茂木一葉
punchiki (character),真流樹
jyu (cookie),JYU(淫夢)
run (purism egoist),るん(purism×egoist)
rachel (baccano!),レイチェル
major zero,ゼロ少佐
fatima eaglefeather,ファティマ・イーグルフェザー
minami shun,南瞬
ranguren,乱紅蓮
kamen rider g,仮面ライダーG(キャラクター)
komano tsutomu,駒野勉
dayna (alchemy stars),ダイナ
miyuki (lawson) (kancolle),ローソン深雪
katzelia,カッツェリーラ
ifukube yahiro,伊福部やひろ
emma guzman,エマ・グスマン
doctor healmore,ヒールドクター
jack russell,ジャック・ラッセル
midorikawa hikaru,緑川光
valerie harmon,ヴァレリー・ハーモン
okazaki tomomi,岡崎朋美
togetsu kotarou,兎月胡太郎
saotome yoshio,早乙女好雄
ootori eiichi,鳳瑛一
kawazue akira,川末晶
joseph jobson,ジョセフ・ジョブスン
mel masters,メル・マスターズ
kusakabe nanami,日下部七海
haneda yoshimi,羽田芳実
marlene vlady,マレーネ・ブラディ
sakurazaka hazuki,桜坂葉月
katze,カッツェ
nowaki hotaru,野分ほたる
hoshikawa sara (6th costume),星川サラ(軍服)
silver knight (.hack//),銀漢
avi (yume-100),アヴィ
verossa acous,ヴェロッサ・アコース
suwabara kai,諏訪原戒
yasaka kou,八坂こう
anti-venom,アンチヴェノム
ouji misaya,黄路美沙夜
miss merry christmas,ミス・メリークリスマス
matsukura ai,松倉藍
ruka (p&d),ルカ(パズドラ)
shibasaki asako,柴崎麻子
kotonon,ことのん
magdalen harts,マクダレン・ハーツ
neo exdeath,ネオエクスデス
kanazawa nanako,金沢魚子
bill gates,ビル・ゲイツ
honoka en,仄焔
li sushang (summer 2023),李素裳(2023水着)
ooyama takeru,大山タケル
lun (suikoden),ラン(幻想水滸伝)
itou hinako,伊東ひなこ
ouhama yukino,桜濱雪乃
michael (z/x),ミカエル(Z/X)
azamaru (tenka hyakken),あざ丸
mitan (fire emblem),ミタン
natsume (kakuto ryori densetsu bistro recipe),ナツメ(格闘料理伝説ビストロレシピ)
kubota shiho,久保田志穂
spas-15 (girls' frontline),SPAS-15(ドールズフロントライン)
amdarais,アムダライス
liu li,雏蜂
xerah (king's raid),ゼラ(キンスレ)
rip (undead unluck),リップ=トリスタン
kanae (12th costume) (nijisanji),叶(くろのわ3衣装)
boutani yoshika (mankai kaika),棒谷好佳
jenkins (light of the holiest star) (azur lane),聖夜の光は星より
diana (sailor moon) (human),人間ダイアナ
onomachi haruka (1st costume),小野町春香(和服)
hamori tsubasa,羽森つばさ
nagima yumemi,凪間ゆめみ
elle (karochii),エル
kevin farrell,ケビン・ファレル
habolg (made in abyss),ハボルグ
cure spicy (party up style),パーティーアップ
klaus (xenoblade),クラウス(ゼノブレイド)
kirishima kairi,桐島かいり
wakakusa yukari,若草ゆかり
kamewaritou,瓶割刀
oko (cookie),おこ姉貴
kohaku nuino,心羽白ぬいの
minneapolis (trapper white) (azur lane),トラッパーホワイト
shinoda mioko,篠田澪瑚
roshea (fire emblem),ロシェ
princess lakitu,ジュゲム姫
orion eden,オリオン座のエデン
yui (forever 7th capital),濑由衣
senjuin koharu,千手院小春
nitro man,ニトロマン
nozaki mayu,野崎真由
lalo salamanca,ラロ・サラマンカ
yuzuki yukari (mu),結月ゆかりMμ
iwasaki shiho,岩崎志保
abel walker,アベル・ウォーカー
kurokawa nagiko,黒川凪子
hanazono yuriko,花園百合子
nero claudius (saber venus) (fate),セイバー・ヴィーナス
ya shou (hakuyagen),也笙
gina evans,ジーナ(牙狼VL)
takagi shinta,高木真太
ikusaba maya,軍場真夜
kursk (lone wolf amid the steam) (azur lane),湯煙の孤狼
mamiya ayumi,魔宮あゆみ
artemicion,アルテミシオン
kyoka (spring) (princess connect!),キョウカ(スプリング)
kiku 8,キク8号
carol malus dienheim (daur da blao),ダウルダブラ
sukashi masamune,透し正宗
horinuki masamune,ほりぬき正宗
espada (akuaya),エスパダ
yakumo chizuru,八雲ちづる
solar metca,ソーラ・ミートゥカ
raeliana mcmillan,レリアナ・マクミラン
hayashida tamaki,林田たまき
kukochihiko (fate),クコチヒコ(Fate)
akarun (vtuber),あかるん
shoutmon x7,シャウトモンX7
tekitou (mimelond),テキトーちゃん
nagara (yukata) (kancolle),長良(浴衣)
white-naped crane (kemono friends),マナヅル(けものフレンズ)
chuu-tan,チュウたん
mikasa (style of the sakura capital) (azur lane),桜都の風
ariu aki,有遊愛来
shoupan (trickcal),シュパン
kamiyugi ayase,上柚木綾瀬
hatsune miku (swimwear b),スイムウェアB
windam (gundam seed),ウィンダム(MS)
kuroizato kaoru,黒井里薫
ogawa miku,小川美紅
kinako (idolish7),きなこ
ropponmatsu 2,六本松二式
yukishiro arisa,雪城愛理沙
hayama mido,葉山みど
natsukido rei,夏木戸澪
pure flonne,ピュアフロン
kamen rider valvarad,仮面ライダーヴァルバラド
waffle ryebread,ワッフル・ライブレッド
shen xiuxiu,沈袖袖
oceanus shenron,六星龍
kouno tooru,河野亨
aria (sennen sensou aigis),副官アリア
lee yumi (counter:side),カスカベ・ユミ
yakumo shuuko,八雲柊子
livie collet,リヴィ・コレット
hasunuma riko,蓮沼莉子
hammer (ole tower),金鎚
miyaga daiki,ミヤガ・ダイキ
bicine (precure),ビシン
kimishima aya,君島亜弥
ginryousou (flower knight girl),ギンリョウソウ(花騎士)
inazuma (warship girls r),電(戦艦少女)
takehana note (vtuber),竹花ノート
shadow labrys,シャドウラビリス
kurata yui,倉田ユイ
hongou yui,本郷唯
quintica chief of the polar night,極夜の長クィンティカ
shibuya azuki,澁谷梓希
kaguya (sennen sensou aigis),月姫カグヤ
takanashi nanase,小鳥遊七瀬
matthew (mitsumomo mamu),ましゅ
amatsuka erena,天使英玲奈
michelia (merc storia),ミシェリア
t t t (duel masters),T・T・T
misono chika,美園千花
elis scarlet,エリス・スカーレット
mukai kouji,向井康二
pound (azur lane),パウンド
ikazuchi (sakura tea) (azur lane),サクラブレイク
abyssal chain clown oni,深海磨鎖鬼
fargo (chrono cross),ファルガ
giulio cesare (fitness master) (azur lane),フィットネスマスター
lena floria,レーナ・フローリア
