original,オリジナル
atelier lise,リーズのアトリエ
eryi's action,エリィのアクション
hotarubi no mori e,蛍火の杜へ
tousui kitan,灯穂奇譚
newton to ringo no ki,ニュートンと林檎の樹
rikujou boueitai mao-chan,陸上防衛隊まおちゃん
mezamashi tv,めざましテレビ
mega man: the wily wars,ロックマンメガワールド
banshiryuu,ばんしりゅう
lenovo,レノボ
inglourious basterds,イングロリアス・バスターズ
wario's woods,ワリオの森
abyss horizon,アビス・ホライズン
houkago no goumon shoujo,放課後の拷問少女
hundred demon spectrum,百妖谱
himawari wa yoru ni saku,向日葵ハ夜ニ咲ク
kohaku no yume,虚白ノ夢
amtrak,アムトラック
donkey kong country returns,ドンキーコングリターンズ
basic instinct (movie),氷の微笑
level 0 no maou-sama isekai de boukensha wo hajimemasu,レベル0の魔王様、異世界で冒険者を始めます
magical patissier kosaki-chan,マジカルパティシエ小咲ちゃん!!
bakuten!!,バクテン!!
silhouette mirage,シルエットミラージュ
sun group (printing company),サングループ
majiresu!! ~omatase little wing~,まじれす!!
soul taker,魂狩
youkai hunter,妖怪ハンター
sengoku hime 6,戦極姫6~天下覚醒、新月の煌き~
hiota no kanojo ga ore no motteru eroge ni kyoumi shinshin nandaga......,非オタの彼女が俺の持ってるエロゲに興味津々なんだが......
fight song (eve),ファイトソング
another world,アウターワールド
tri-stars,とらい☆すたーず
shinji to yukai na nakama-tachi,シンジと愉快な仲間たち
sanse hui lian,トリコロール_ラブストーリー
baldr force,バルドフォース
sei juushi bismarck,星銃士ビスマルク
tokusou kihei dorvack,特装機兵ドルバック
city connection,シティコネクション
new super mario bros. 2,NEWスーパーマリオブラザーズ2
sugakiya,スガキヤ
turkey! (series),ターキー
comitia 143,コミティア143
onedari milky pie,おねだりミルキーパイ
campanula,かんぱにゅら
false island,偽島
giji harem,疑似ハーレム
super mario all-stars,スーパーマリオコレクション
warau salesman,笑ゥせぇるすまん
magical valkyrie lyristia,魔法闘姫リルスティア
la danse macabre,ダンス・マカブル
fuu-chan no ana,ふーちゃんの穴
milkyway,ミルキーウェイ
transformers: rescue bots,レスキューボッツ
far cry 6,ファークライ6
wand of fortune,ワンドオブフォーチュン
the ninja warriors once again,ザ・ニンジャウォーリアーズワンスアゲイン
inaka no kuro gal jk to kekkon shimashita,田舎の黒ギャルJKと結婚しました
kamen rider the next,仮面ライダーTheNext
ayakashi banashi,妖話
bakushou (song),爆笑
yakuchu!,~_やくchu!
vvv (group),V・V・V
motto nee chanto shiyou yo!,もっと姉、ちゃんとしようよっ!
queen's gate spiral chaos,クイーンズゲイトSPIRALCHAOS
escalation hardcore,ESCALATION_~蒼い抱擁~
saimin gakuen,催眠学園
onidere,オニデレ
akahori gedou hour rabuge,あかほり外道アワーらぶげ
pixiv shadow 3,ぴくカゲIII
assault suit leynos,重装機兵レイノス
boukyaku no senritsu,忘却の旋律
bee movie,ビー・ムービー
joshi mote na imouto to junan na ore,女子モテな妹と受難な俺
puppetmuppet,パペットマペット
mudazumo naki kaikaku,ムダヅモ無き改革
hadaka apron gakuen,裸エプロン学園
mamatoto,ママトト
iketeru futari,イケてる2人
resident evil: operation raccoon city,バイオハザードオペレーション・ラクーンシティ
dead space 1,デッドスペース
kakuto ryori densetsu bistro recipe,格闘料理伝説ビストロレシピ
okane ga nai,お金がないっ
ubisoft,ユービーアイソフト
koharu biyori (mizuki takehito),こはるびより
sonatine,ソナチネ
minerva no kenshi,ミネルバの剣士
black wolves saga,ブラックウルヴスサーガ
moldiver,モルダイバー
young hip,ヤングヒップ
15 shoujo,十五少女
marmalade boy,ママレード·ボーイ
fortune summoners,フォーチュンサモナーズ
petenshi ga warau koro ni (vocaloid),ペテン師が笑う頃に
mondaiji no watashitachi wo kaeta no wa onaji class no monaka-senpai,私たち問題児
q-transformers,Qトラ
dare ga koroshita komadori wo,誰が殺したコマドリを
angel (vocaloid),アンヘル(かいりきベア)
kine-san no 1-ri de cinema,木根さんの1人でキネマ
shirogane no ishi argevollen,白銀の意思アルジェヴォルン
kagaku touki silver raina,科学闘姫シルバーライナ
devi rock,デビ☆ロック
mikuri gakuen sweets-bu,みくり学園スイーツ部
koinaka -koinaka de hatsukoi x nakadashi sexual life-,こいなか-小田舎で初恋×中出しセクシャルライフ-
alfort (brand),アルフォート
mainichi shabutte ii desu ka?,毎日しゃぶっていいですか?
frogman (manga),フロッグマン
metal gear 1,初代メタルギア
p2! let's play pingpong,ピーツー_レッツ_プレイ_ピンポン
itadaki babel (denonbu),いただきバベル
the adventures of elliot: the millennium tales,冒険家エリオットの千年物語
guardians of the galaxy vol. 2,ガーディアンズ・オブ・ギャラクシー:リミックス
tales of the world reve unita,レーヴユナイティア
egao no taenai shokuba desu,笑顔のたえない職場です。
dragon quest vii reimagined,ドラゴンクエストVII_Reimagined
diamond no kouzai,ダイヤモンドの功罪
kekkon suru tte hontou desu ka,結婚するって、本当ですか
dekin no mogura,出禁のモグラ
touhou mugen rasen,東方無限螺旋
umamusumeshi,うまむすめし
gatchaman crowds insight,ガッチャマンクラウズインサイト
maplestory m,メイプルストーリーM
ingoku danchi,インゴクダンチ
fujimi gokko (vocaloid),不死身ごっこ
ponkotsu fuuki iin to skirt-take ga futekisetsu na jk no hanashi,ポンコツ風紀委員とスカート丈が不適切なJKの話
ganbare!! robocon,がんばれ!!ロボコン
kaijuu ni naritai (vocaloid),怪獣になりたい
viva happy (vocaloid),ビバハピ
kyokugen chikan tokuiten neo,極限痴漢特異点NEO
odoriba ni skirt ga naru,踊り場にスカートが鳴る
fatal fury 2,餓狼伝説2
atelier kaguya,アトリエかぐや
kore kaite shine,これ描いて死ね
amazing grace -what color is your attribute?-,アメイジング・グレイス
fusion crust (love live!),フュージョンクラスト
very! very! coconatsu,Very!_Very!_COCO夏っ
catdog,キャットドッグ
angel at dusk,夕暮れの楽園と赤く染まる天使たち
nitro express,ナイトロエクスプレス
geunyeoga gongjagjeolo gaya haessdeon sajeong,彼女が公爵家に行かなければならなかった事情
cupid (amane kanata),きゅーぴっど
team dmp,ちぃむdmp☆
dick figures,猥琐传说
summon night craft sword monogatari hajimari no ishi,サモンナイトクラフトソード物語〜はじまりの石〜
monkey island,モンキー・アイランド
medarot 1,メダロット1
kekka orai (song),けっかおーらい
the suicide squad (2021 movie),スーサイド・スクワッド
tokyo disneysea,東京ディズニーシー
jaja uma quartet,Jaja馬カルテット
enmankaiketsu! enma-chan,円満解決!閻魔ちゃん
el chapulin colorado (series),エル・チャプリン・コロラド
tsukuritai onna to tabetai onna,作りたい女と食べたい女
akashic re:cords,アカリコ
magne robo gakeen,マグネロボ・ガ・キーン
machine child,マシンチャイルド
exorcist wo otosenai,エクソシストを堕とせない
wordle,ワードル
torima minshuku yadori teki na!,とりま民宿やどり的な!
salamander (game),サラマンダ
vampire hunter d: bloodlust,吸血鬼ハンターDブラッドラスト
silent reading,默读
in love with an idiot,你却爱着一个sb
dogsred,ドッグスレッド
the voynich hotel,ヴォイニッチホテル
iya dato ienai jimikei shoujo,イヤだと言えない地味系少女
marco to ginga ryuu,マルコと銀河竜
on your mark (ghibli),ジブリ実験劇場
minami-ke okawari,みなみけ〜おかわり〜
honnou (shiina ringo),本能
gekkou chou,月虹蝶
hokkyoku hyakkaten no concierge-san,北極百貨店のコンシェルジュさん
mario kart: double dash!!,マリオカートダブルダッシュ!!
harry potter and the prisoner of azkaban,アズカバンの囚人
gundam f91 formula report 0122,フォーミュラー戦記0122
helix waltz 2,螺旋圆舞曲2蔷薇战争
rougo ni sonaete isekai de 8-manmai no kinka wo tamemasu,老後に備えて異世界で8万枚の金貨を貯めます
fighter's history,ファイターズヒストリー
engage kill,エンゲージキル
erotica yuuwaku kenshuu hajimaruyo,エロティ課誘惑研修はじまるよ
quotations from chairman mao zedong,毛主席语录
shuumatsu touring,終末ツーリング
a midsummer night's dream,夏の夜の夢
shinomiya kouta wa mada shinenai,四ノ宮小唄はまだ死ねない
tapioca western,タピオカウェスタン
comitia 145,コミティア145
kasane teto no ferutago~n (synthesizer v),重音テトのフェルタゴ~ン
1 pound no fukuin,1ポンドの福音
maougun saikyou no majutsushi wa ningen datta,魔王軍最強の魔術師は人間だった
kawaiku naritai (honeyworks),可愛くなりたい
shin taketori monogatari sennen joou,新竹取物語1000年女王
yotsume god,四ツ目神
next king,ネクストキング
sujikoi,筋恋
mama wa taimanin,ママは対魔忍
mayday (air crash investigation),メーデー!:航空機事故の真実と真相
comitia 151,コミティア151
astro royale,願いのアストロ
the jet black hedgehog: shadow the hedgehog,漆黒のハリネズミ:シャドウ・ザ・ヘッジホッグ
neko-nin exheart 2,猫忍えくすはーと2
stgr,ストグラ
hakoniwalily,ハコニワリリィ
pretty face,プリティフェイス
tenkai knights,テンカイナイト
historie,ヒストリエ
remember11,リメンバーイレブン
barisol no kodomo wa hitorikko (vocaloid),バリーゾールの子供は一人っ子
robotboy,ロボットボーイ
dispatch!!,でぃすぱっち!!
assault suits valken,重装機兵ヴァルケン
kettobashita moufu (zutomayo),蹴っ飛ばした毛布
legend of the three kingdoms,三国杀
megami ni damasareta ore no isekai harem seikatsu,女神に騙された俺の異世界ハーレム生活
rance iv,ランスIV-教団の遺産-
eien ni game de taisen shitai kiritan (voiceroid),永遠にゲームで対戦したいキリタン
dead rock,デッドロック
bug fables,バグ・フェイブルズ
suada,すあだ
imawa no kuni no alice,今際の国のアリス
palmie,パルミー
date a live: twin edition rio reincarnation,デート・ア・ライブ_Twin_Edition_凜緒リンカーネイション
keihin kyuukou dentetsu,京浜急行電鉄
neko miko reimu,ねこ巫女れいむ
kuraki-san wa semetai,倉木さんは攻めたい!
the brothers karamazov,カラマーゾフの兄弟
kamen rider 555: paradise regained,パラダイス・リゲインド
yanderella,ヤンデレラ
mosaic.wav,モザイクウェブ
digimon paradox,デジモンパラドクス
omoide wa okkusenman!,思い出はおっくせんまん
fortuna (game),フォルトゥーナ
super wings,スーパーウィングス
zexy (magazine),ゼクシィ
shikabane-gurai no bouken meshi,屍喰らいの冒険メシ
festibattle,フェスバアート
meikopia,メイコライブ
tabikaeru,旅かえる
yuusha shisu.,勇者死す。
mujigen hunter fandora,夢次元ハンターファンドラ
project 01: time-loop,回帰のミク
colgate,ゴルゲート
haitenai rpg,はいてないRPG
yoshi's story,ヨッシーストーリー
tsumi to batsu: sora no koukeisha,罪と罰~宇宙の後継者~
precure all stars new stage 3: eien no tomodachi,プリキュアオールスターズNewStage3_永遠のともだち
mayohiga no onee-san,マヨヒガのお姉さん
sangokushi senhime,娘々三国志
sengoku hime 5,戦極姫5~戦禍断つ覇王の系譜~
civilization vi,シヴィライゼーションVI
shisetsu toshokan schatzkiste e youkoso! erice to yu kaina meido-tachi,私設図書館シャッツキステへようこそ!エリスとゆかいなメイドたち
meimon joshikou ryokou,名門女子校旅行~俺だけ男なんですが!?~
k-on! college,けいおん!college
b-daman bakugaiden,爆外伝
skyfall,スカイフォール
marshmallow times,マシュマロ通信
lime-iro ryuukitan x,らいむいろ流奇譚X
20th century studios,20世紀スタジオ
shinmai shimai no futari gohan,新米姉妹のふたりごはん
otomate,オトメイト
jingju mao,京剧猫
kuramerukagari,クラメルカガリ
getsu fuuma den,月風魔伝
juuouki,獣王記
see in ao,シーンAO
bless your breath (vocaloid),ブレス・ユア・ブレス
happy heroes,开心超人联盟
m.h.s,溝口ゆうま
desire (c's ware),DESIRE背徳の螺旋
tetora-san no kiki jikkyou,テトラさんの鬼姫実況
ultraman neos (series),ウルトラマンネオス
furuki okite no mahou kishi,古き掟の魔法騎士
toraware no palm,囚われのパルマ
torimazange,とりまざんげ
meiyaku no guardian knights,盟約のガーディアンナイツ
kutsuzure sensen,靴ずれ戦線
pokemon box ruby & sapphire,ポケモンボックス_ルビー&サファイア
rondo duo,輪舞曲Duo_-夜明けのフォルテシモ-_ぷにゅぷりff
ray-kudryavka,レイ・クドリャフカ
yuumei sakai wo koto ni suru,幽明境を異にする
super robot wars reversal,スーパーロボット大戦R
ane to princess wa kirawaretakunai,姉とプリンセスは嫌われたくない
makura no danshi,まくらのだんし
youkai sangokushi,妖怪三国志
digimon chronicle,デジモンクロニクル
souten no celenaria,蒼天のセレナリア
love rec.,ラブレコ.
reine des fleurs,レンドフルール
comiket 66,コミケ66
amanatsu (azarashi soft),アマナツ
haitaka no psychedelica,灰鷹のサイケデリカ
ibara no ou,いばらの王
castlevania: lords of shadow,キャッスルヴァニアロードオブシャドウ
kimi wa sukinosaurus,君はスキノサウルス
anemone wa netsu wo obiru,アネモネは熱を帯びる
watashi ni konya ai ni kite,私に今夜☆会いに来て
gunparade orchestra,ガンパレード・オーケストラ
love-pii channel,loveぴー
super mario party,スーパーマリオパーティ
cosmos no sora ni,秋桜の空に
takamare! takamaru,たかまれ!タカマル
ninku,忍空
2 fast 2 furious,ワイルド・スピードX2
xevious,ゼビウス
umi ga kikoeru,海がきこえる
le ciel bleu,ル・シエル・ブルー
dragon quest monsters 2,ドラゴンクエストモンスターズ2
passpartout: the starving artist,パスパルトゥー
nee nee nee,ねぇねぇ姉
chu-bra!!,ちゅーぶら!!
shiawase toriming,しあわせ鳥見んぐ
metal slug tactics,メタルスラッグタクティクス
kaze no daichi,風の大地
null mahou shoujo,クァール(非-魔法少女)
kimi no taion (vocaloid),君の体温
niziu,ニジュー
kyuusai no gihou,救済の技法
gunjou sanka (vocaloid),群青讃歌
kimi no iro,きみの色
the hunger games,ハンガー・ゲーム
shinkai summit (vocaloid),心壊サミット
gellerman,ゲラーマン
drive-in tori,ドライブイン鳥
megamari,メガマリ
htb,北海道テレビ放送
yumepercent,ユメパーセント
the wild robot,野生の島のロズ
shin bible black,新バイブルブラック
honoo no haramase jinsei,炎の孕ませ人生~あの頃に戻って孕ませナイト~
brocken blood,ブロッケンブラッド
hatsune miku -tap wonder-,初音ミク_-TAP_WONDER-
30-sai no hoken taiiku,30歳の保健体育
cloth road,クロスロオド
donald land,ドナルドランド
grim fandango,グリム・ファンダンゴ
imouto jiru,妹汁
fancy lala,ファンシーララ
rayforce,レイフォース
hanamaru!,はなマルッ!
majo to tsukaima,魔女と使い魔
keishousareru yuusha no rpg,『継承される勇者のRPG』
ikusa megami verita,戦女神VERITA
meido ni chikaramake suru nante shikatanain desuka?,メイドに力負けするなんて恥ずかしくないんですか?
kitty (vocaloid),キティ
yamato2520,ヤマトにーごーにーぜろ
comitia 116,コミティア116
m&g stationery,晨光文具
formula e,フォーミュラE
kousoku sentai turboranger,高速戦隊ターボレンジャー
sanarara,サナララ
cozopro,cozoruお絵かき診断
senkuu no reconquista,潜空のレコンキスタ
omiai shitakunakatta no de murinandai na jouken o tsuketara doukyuusei ga kita ken ni tsuite,お見合いしたくなかったので、無理難題な条件を付けたら同級生が来た件について
love ka? (vocaloid),ラブカ?
troubledays,とらぶるでいず
valkyrie impulse,ヴァルキリーインパルス
gundam the battle master,ガンダム・ザ・バトルマスター
inori no kuni no riviere,祈りの国のリリエール
gaki ni modotte yarinaoshi,ガキにもどって犯りなおしっ
vital gear,ヴァイタルギア
kidou keisatsu patlabor 2 the movie,機動警察パトレイバー2theMovie
guardian recall,ガーディアンリコール
super mario bros z,スーパーマリオブラザーズZ
himote house,ひもてはうす
ashigei shoujo komura-san,足芸少女こむらさん
shinsei-maou no venus-hunt,新生魔王の女神狩り
lilium x triangle,リリウム×トライアングル
kami no rhapsody,神のラプソディ
odoru hoshifuru reneshikuru,踊る星降るレネシクル
fujiyama-san wa shishunki,富士山さんは思春期
lily lyric cycle,りりくる~LIlyLYriccyCLE~
jewelpet happiness,ジュエルペットハッピネス
majogami,魔女ガミ
kamen rider my-th (series),仮面ライダーマイス
melt ice cream (vocaloid),メルト・アイスクリーム
ours locus amoenus,ぼくらのロクス・アモエヌス
toho (movie company),東宝
uchuu eiyuu monogatari,宇宙英雄物語
chrono story (vocaloid),クロノ・ストーリー
darkthrone,ダークスローン
ai kotoba v (vocaloid),愛言葉V
kid dracula (game),悪魔城すぺしゃるぼくドラキュラくん
gamushara ni ikou! (idolmaster),がむしゃらに行こう!
mahou shoujo ikusei keikaku black,魔法少女育成計画「黒(ブラック)」
amayo no tsuki,雨夜の月
unbeatable,アンビータブル
over requiemz,オバレク
kyoukai hishou celestite,境界飛翔セレスタイト
ai zokusei (vocaloid),愛属性
tororin time,とろりんタイム
kamen rider w forever: a to z/the gaia memories of fate,運命のガイアメモリ
eberouge,エーベルージュ
castlevania chronicles,悪魔城年代記悪魔城ドラキュラ
tetsu no shoujo to yumemigachi na ohimesama (vocaloid),鉄の処女と夢見がちなお姫さま
bokura no ameiro protocol,僕らの雨いろプロトコル
shiawase no ribbon,幸せのリボン
choujuu giga gao road,超獣戯牙ガオロード
gaman ga dekinai doutei aniki to sunao ni narenai hankou imouto,ガマンができない童貞兄キと、スナオになれない反抗妹
be be be be (cevio),ビビビビ
helix horizon,螺旋境界线
ie naki ko remi,家なき子レミ
menhera janai mon! (vocaloid),メンヘラじゃないもん!
creativerpg,クリエイティブRPG
karryn's prison,カリンズプリズン
clock tower: the first fear,クロックタワー〜ザ・ファーストフィアー〜
rainbow herb farm,草木萌鑑
kizoku tensei: megumareta umare kara saikyou no chikara wo eru,貴族転生~恵まれた生まれから最強の力を得る~
negative happy,ネガティヴハッピィ
kingdom hearts x back cover,キングダムハーツキーバックカバー
fukukaichou no omona oshigoto,副会長の主なお仕事
chichi wa eiyuu haha wa seirei musume no watashi wa tenseisha,父は英雄、母は精霊、娘の私は転生者。
assassin dearu ore no status ga yuusha yori mo akiraka ni tsuyoi nodaga,暗殺者である俺のステータスが勇者よりも明らかに強いのだが
goshujin-sama niwa suwasemasen!,ご主人様には吸わせません!
lolita (nabokov),ロリータ
jinsei gyakuten: uwaki sare enzai wo kiserareta ore ga gakuen ichi no bishoujo ni natsukareru,人生逆転~浮気され、えん罪を着せられた俺が、学園一の美少女に懐かれる~
transformers: zone,トランスフォーマーゾーン
the legend of hei 2,罗小黑战记2
la seine no hoshi,ラ・セーヌの星
rock na kimi to wa owakare da,ロックな君とはお別れだ
kaiketsu jouki tanteidan,快傑蒸気探偵団
pokemon mystery dungeon: gates to infinity,マグナゲートと∞迷宮
saludos amigos,ラテン・アメリカの旅
super robot wars impact,スーパーロボット大戦-IMPACT
maguro (drama),マグロ
wario land: super mario land 3,スーパーマリオランド3ワリオランド
izayoi selene,十六夜セレーネ
shinzui,真髄
princess reconquista,王女のレコンキスタ
choppiri toshiue demo kanojo ni shite kuremasu ka?,ちょっぴり年上でも彼女にしてくれますか?
ane death.,姉です。
rineiron,りねいろん
fiction desu (synthesizer v),フィクションです
forest musician cranberry gaiden: magical girl raising project unripe duet,森の音楽家クラムベリー外伝
bokujou monogatari: harvest moon,ハーベストムーン
one piece: clockwork island adventure,ねじまき島の冒険
lance n' masques,ランス・アンド・マスクス
seishun no rinkaku,青春の輪郭
kimoota mob youhei wa minohodo o ben (waki ma) eru,キモオタモブ傭兵は、身の程を弁(わきま)える
project arms,アームズ
mietemasu yo! aizawa-san,見えてますよ!愛沢さん
kingdom hearts missing-link,キングダムハーツミッシングリンク
imouto choukyou nikki,妹調教日記
dragon quest monsters joker,ドラゴンクエストモンスターズジョーカー
power rangers mystic force,パワーレンジャー・ミスティックフォース
billy hatcher and the giant egg,ジャイアントエッグ
nintendo badge arcade,バッジとれ~るセンター
medarot survivor,メダロットサバイバー
suishitai ni modoranaide (vocaloid),水死体にもどらないで
my pokemon ranch,みんなのポケモン牧場
kazoku wa (ore igai) succubus deshita ~ futari no ane to haha to no seikatsu de seieki o shiboritora remasu ~,家族は(俺以外)サキュバスでした
bishoujo muzai pirates,美少女無罪♡パイレーツ
bunny (vocaloid),バニー(ボカロ)
sagrada reset,サクラダリセット
tsuyokute new saga,強くてニューサーガ
akashic production,あかしっくぷろだくしょん
saji no majinai (vocaloid),匙ノ咒
wonder three,ワンダースリー
power rangers zeo,パワーレンジャー・ZEO
chikyuu sentai fiveman,地球戦隊ファイブマン
age of empires i,エイジオブエンパイアI
minami no niji no lucy,南の虹のルーシー
bayonetta origins: cereza and the lost demon,BAYONETTA_Origins:セレッサと迷子の悪魔
otani oniji iii as yakko edobei,東洲斎写楽画三代目大谷鬼次の奴江戸兵衛
no sleep for kaname date - from ai: the somnium files,伊達鍵は眠らない
amatsu kitsune (vocaloid),アマツキツネ
dai dark,大ダーク
kako ni torawareteiru (tuyu),過去に囚われている
mushikago no cagaster,虫籠のカガステル
digimon recollection,デジモンリコレクション
teniireta saimin app de yume no harem seikatsu wo okuritai,手に入れた催眠アプリで夢のハーレム生活を送りたい
koi ni wa amae ga hitsuyou desu,恋にはあまえが必要です
paralympics,パラリンピック
baraduke,バラデューク
kagerou: darkside princess,影牢ダークサイド・プリンセス
okitegami kyouko no bibouroku,掟上今日子の備忘録
yao guang lu,摇光录
shazam! (movie),シャザム!
brooklyn nets,ブルックリン・ネッツ
kaiketsu zorori,かいけつゾロリ
highrisk mission therapy,ハイリスクミッションセラピー
ehrgeiz,エアガイツ
genki bakuhatsu ganbaruger,元気爆発ガンバルガー
cursenday's dark carnival,卡森德拉的黑色嘉年华
nounai kakumei girl (vocaloid),脳内革命ガール
mono palette.,モノパレ
tsugihagi staccato (vocaloid),ツギハギスタッカート
wolfsmund,狼の口
kounai sandai bijo no himo shitemasu,校内三大美女のヒモしてます
alisia dragoon,アリシアドラグーン
dragon pink,ドラゴンピンク
1ldk + jk ikinari doukyo? micchaku!? hatsu ecchi!!?,1LDK+JKいきなり同居?密着!?初エッチ!!?
issun-boushi,一寸法師
spider-man: itsuwari no aka,スパイダーマン/偽りの赤
brain age,脳を鍛える大人のDSトレーニング
watashi wa succubus to kiss wo shita,私はサキュバスとキスをした
twiright prank (vocaloid),トワイライトプランク
soka gakkai international,創価学会
generator rex,ジェネレーター・レックス
aibyou sekai,愛病世界
resident evil: dead aim,ガンサバイバー4バイオハザードヒーローズ・ネバー・ダイ
heaven seeker,ヘブンシーカー
higanjima,彼岸島
kamen rider gotchard vs kamen rider legend,仮面ライダーガッチャードVS仮面ライダーレジェンド
nobunaga concerto,信長協奏曲
doki doki pretty league,ドキドキプリティリーグ
burnout (series),バーンアウト
sewazuki de kawaii jk 3shimai dattara ouchi de amaete mo ii desuka?,世話好きで可愛いJK3姉妹だったら、おうちで甘えてもいいですか?
yorushika,ヨルシカ
fechi chichi kyonyuu sensei no yuuwaku jugyou,ふぇちちち!~巨乳先生の誘惑授業~
magic-kyun! renaissance,マジきゅんっ!ルネッサンス
youko-san wa kon to naku,妖狐さんはコンと鳴く
makiba no shoujo katri,牧場の少女カトリ
narara superboard,飛べスーパーボード
kingyo oukoku no houkai,金魚王国の崩壊
spec ops the line,スペックオプスザ・ライン
okusama no kaifuku-jutsu,奥さまの回復術
wafuu fantajii na utsu eroge no nanashi sentou-in ni tensei shitandaga shuui no on'na ga yabe yatsu bakari de iyanayokan shika shinai kudan,和風ファンタジーな鬱エロゲーの名無し戦闘員に転生したんだが周囲の女がヤベー奴ばかりで嫌な予感しかしない件
maken-shi no maken ni yoru maken no tame no harem life,魔剣師の魔剣による魔剣のためのハーレムライフ
let the bullets fly,让子弹飞
naanni mo dekinai gyaru ga yuiitsu dekiru koto,なーんにもできないギャルが唯一できるコト
star fox command,スターフォックスコマンド
talking heads,トーキング・ヘッズ
yami to hikari no sanctuary,ヤミと祝祭のサンクチュアリ
my-hime destiny: ryuu no miko,舞-HiME☆DESTINY龍の巫女
kafu-chan no kare udon kyousou kyoku (cevio),可不ちゃんのカレーうどん狂騒曲
sorcery jokers,ソーサリージョーカーズ
gacha wo mawashite nakama wo fuyasu saikyou no bishoujo gundan wo tsukuriagero,ガチャを回して仲間を増やす_最強の美少女軍団を作り上げろ
digimon story: lost evolution,デジモンストーリーロストエボリューション
jewelry hearts academia,ジュエリー・ハーツ・アカデミア
dokuzu (vocaloid),ド屑
ikemen sengoku,イケメン戦国
eine kleine (yonezu kenshi),アイネクライネ
warau warawau,笑う、わらわぅ
kikaijikake no marie,機械じかけのマリー
1 rt de nakawarui nonke joshi-tachi ga 1-byou kiss suru,1RTで仲悪いノンケ女子たちが1秒キスする
xena: warrior princess,ジーナ:ウォリアー・プリンセス
shuuten chi e kiete (utau),終点地へ消えて
=love,イコラブ
elf hime nina,エルフ姫ニィーナ
cyber block metal orange,サイバーブロックメタルオレンジ
tajuu-jinkaku tantei saiko,多重人格探偵サイコ
sengoku tenshi djibril,戦国天使ジブリール
the freak circus,怪诞马戏团
oh yes! kasshoku bitch hitozuma no seiyoku kaishou,褐色クールビッチ人妻の性欲解消
jewelpet kira deco!,ジュエルペットきら☆デコッ!
jk shousetsuka poi,JK小説家っぽい!
watashi no tomodachi ga sekaiichi kawaii,わたしの友達が世界一かわいい
zannen na ane to no love comedy,残念な姉との幸福論
gundam pulitzer,機動戦士ガンダムピューリッツァー
ano machi no koi no uta,あの街の恋の詩
sanzensekai no raisner,三千世界の英雄王
hyakuren no haou to seiyaku no valkyria,百錬の覇王と聖約の戦乙女
zoolander,ズーランダー
lovvebox,ラブボックス
gensou suikoden tsumugareshi hyakunen no toki,紡がれし百年の時
yume ka utsutsu ka matryoshka,夢か現かマトリョーシカ
nee chanto shiyou yo! 2,姉、ちゃんとしようよっ!2
zutto senpai to,ずっと、先輩と
dragon collection,ドラゴンコレクション
machine robo rescue,出撃!マシンロボレスキュー
ghostwire: tokyo,ゴーストワイヤー:東京
world's end club,ワールズエンドクラブ
ijimerarekko no nekura onna ga jitsu wa dohentai de ijimekko no ubu na gal ni shikaeshi o suru yuri,いじめられっ娘の根暗女が実はド変態でいじめっ娘の初なギャルに仕返しをする百合
hataraku otona no ren'ai jijou,働くオトナの恋愛事情
eurovision song contest,ユーロビジョン
kakugo no susume,覚悟のススメ
rising impact,ライジングインパクト
carrie (song),キャリィ
kibushi-ie,木伏家
ragnastrike angels,ラグナストライクエンジェルズ
barbie in the nutcracker,バービーのくるみ割り人形
joshi lac! (manga),じょしラク!
kochira shuumatsu teitai iinkai,こちら、終末停滞委員会。
hengen sennin asuka,変幻戦忍アスカ
charlie's angels,チャーリーズ・エンジェル
puraore! pride of orange,プラオレ!
taiyou no makibaoo,たいようのマキバオー
summer camp island,サマーキャンプ・アイランド
nyaaaanvy,ニャンビー
patchcon,ぱちゅコン!
wasureenu majo no monogatari,忘れえぬ魔女の物語
mukasete! ryuugasaki-san,剥かせて!竜ケ崎さん
synduality echo of ada,シンデュアリティエコーオブエイダ
groove coaster,グルーヴコースター
hikami no crown,氷上のクラウン
tsuki no sango,月の珊瑚
joy mech fight,ジョイメカファイト
guardians violation,ガーディアンズ・ヴァイオレーション
hero wars,ヒーローウォーズ
hikari sentai maskman,光戦隊マスクマン
minagoroshi-hen,皆殺し編
ooedo rocket,大江戸ロケット
dengeki bunko fighting climax,電撃文庫FIGHTINGCLIMAX
pokemon ga-ole,ポケモンガオーレ
toosenbo (vocaloid),とおせんぼ
mahou no angel sweet mint,魔法のエンジェルスイートミント
magical pokemon journey,PiPiPi★アドベンチャー
settlers of catan,カタンの開拓者たち
world destruction,ワールド・デストラクション
ghostcrown,おばけとおうかん
sesuji wo pin! to,背すじをピン!と
poison pink,ポイズンピンク
kamen rider spirits,仮面ライダーSPIRITS
inupara,イヌぱら
iron man 3,アイアンマン3
amatarasu riddle star,あまたらすリドルスター
gift (vocaloid),ギフト
madoromi barmaid,まどろみバーメイド
akazukin no ookami,赤ずきんの狼
30girl.com,サーティーガール
scribblenauts,マックスウェルの不思議なノート
himegami gadget,姫神様ガジェット
touhou spell bubble,東方スペルバブル
kage no densetsu,影の伝説
tv asahi,テレビ朝日
garo: kami no kiba,神ノ牙
hana no kioku 6,花の記憶_第6章
the legend of legacy,レジェンドオブレガシー
shin megami tensei nine,真・女神転生NINE
shissou word (vocaloid),失想ワアド
